timestamp,temperature,humidity
2025-11-19T09:31:50,24.62,34.34
2025-11-19T09:31:50,28.08,30.67
2025-11-19T09:31:50,25.86,20.77
2025-11-19T09:31:50,29.57,54.17
2025-11-19T09:31:50,22.88,78.8
2025-11-19T09:31:50,28.03,58.96
2025-11-19T09:31:50,28.29,67.07
2025-11-19T09:31:50,28.13,22.63
2025-11-19T09:31:50,30.13,69.86
2025-11-19T09:31:50,31.52,64.48
2025-11-19T09:31:50,20.98,73.74
2025-11-19T09:31:50,22.23,56.55
2025-11-19T09:31:50,23.46,67.04
2025-11-19T09:31:50,24.01,36.46
2025-11-19T09:31:50,28.82,32.98
2025-11-19T09:31:50,28.66,46.61
2025-11-19T09:31:50,25.11,65.6
2025-11-19T09:31:50,22.73,67.43
2025-11-19T09:31:50,18.66,65.3
2025-11-19T09:31:50,26.41,60.63
2025-11-19T09:31:50,19.96,42.22
2025-11-19T09:31:50,26.38,74.81
2025-11-19T09:31:50,20.1,32.7
2025-11-19T09:31:50,28.35,73.02
2025-11-19T09:31:50,22.07,26.04
2025-11-19T09:31:50,20.95,57.69
2025-11-19T09:31:50,29.51,71.56
2025-11-19T09:31:50,24.38,60.95
2025-11-19T09:31:50,22.38,75.39
2025-11-19T09:31:50,28.78,34.68
2025-11-19T09:31:50,23.46,48.36
2025-11-19T09:31:50,19.14,59.9
2025-11-19T09:31:50,26.37,74.54
2025-11-19T09:31:50,22.98,75.53
2025-11-19T09:31:50,20.13,57.73
2025-11-19T09:31:50,29.85,58.45
2025-11-19T09:31:50,22.62,43.33
2025-11-19T09:31:50,22.48,41.55
2025-11-19T09:31:50,21.16,68.99
2025-11-19T09:31:50,25.55,66.73
2025-11-19T09:31:50,29.09,54.53
2025-11-19T09:31:50,31.45,56.43
2025-11-19T09:31:50,29.44,54.49
2025-11-19T09:31:50,20.08,71.49
2025-11-19T09:31:50,27.96,34.86
2025-11-19T09:31:50,21.96,39.48
2025-11-19T09:31:50,28.97,37.6
2025-11-19T09:31:50,20.9,54.0
2025-11-19T09:31:50,27.86,61.29
2025-11-19T09:31:50,19.37,23.25
2025-11-19T09:31:50,31.17,42.42
2025-11-19T09:31:50,30.83,62.72
2025-11-19T09:31:50,28.49,22.34
2025-11-19T09:31:50,29.63,37.26
2025-11-19T09:31:50,21.12,72.83
2025-11-19T09:31:50,23.44,33.46
2025-11-19T09:31:50,19.04,32.89
2025-11-19T09:31:50,26.59,52.31
2025-11-19T09:31:50,27.59,52.83
2025-11-19T09:31:50,18.86,24.04
2025-11-19T09:31:50,26.17,32.65
2025-11-19T09:31:50,24.58,22.13
2025-11-19T09:31:50,26.88,42.49
2025-11-19T09:31:50,19.86,68.69
2025-11-19T09:31:50,30.62,20.11
2025-11-19T09:31:50,30.04,36.44
2025-11-19T09:31:50,23.93,48.66
2025-11-19T09:31:50,20.25,35.48
2025-11-19T09:31:50,30.36,24.38
2025-11-19T09:31:50,18.55,22.72
2025-11-19T09:31:50,19.68,75.12
2025-11-19T09:31:50,24.46,57.79
2025-11-19T09:31:50,26.35,54.9
2025-11-19T09:31:50,31.84,27.6
2025-11-19T09:31:50,21.27,73.03
2025-11-19T09:31:50,23.03,34.33
2025-11-19T09:31:50,29.84,47.37
2025-11-19T09:31:50,27.42,77.43
2025-11-19T09:31:50,20.61,69.32
2025-11-19T09:31:50,24.13,70.11
2025-11-19T09:31:50,20.45,70.09
2025-11-19T09:31:50,28.68,79.41
2025-11-19T09:31:50,27.37,55.51
2025-11-19T09:31:50,23.09,37.45
2025-11-19T09:31:50,26.1,28.39
2025-11-19T09:31:50,30.65,65.33
2025-11-19T09:31:50,25.33,34.8
2025-11-19T09:31:50,27.61,54.05
2025-11-19T09:31:50,24.63,55.08
2025-11-19T09:31:50,21.12,26.49
2025-11-19T09:31:50,28.3,50.26
2025-11-19T09:31:50,19.49,53.07
2025-11-19T09:31:50,19.78,74.35
2025-11-19T09:31:50,18.15,64.66
2025-11-19T09:31:50,30.61,28.6
2025-11-19T09:31:50,31.86,47.07
2025-11-19T09:31:50,27.08,63.71
2025-11-19T09:31:50,24.09,76.4
2025-11-19T09:31:50,28.01,62.74
2025-11-19T09:31:50,23.91,79.7
2025-11-19T09:31:50,22.67,35.56
2025-11-19T09:31:50,20.65,52.36
2025-11-19T09:31:50,18.77,36.3
2025-11-19T09:31:50,27.2,49.81
2025-11-19T09:31:50,23.58,62.01
2025-11-19T09:31:50,18.63,71.02
2025-11-19T09:31:50,30.05,39.33
2025-11-19T09:31:50,30.89,59.79
2025-11-19T09:31:50,25.8,34.17
2025-11-19T09:31:50,22.07,68.12
2025-11-19T09:31:50,18.56,58.56
2025-11-19T09:31:50,22.49,77.52
2025-11-19T09:31:50,28.04,50.19
2025-11-19T09:31:50,29.73,65.31
2025-11-19T09:31:50,27.53,21.92
2025-11-19T09:31:50,31.34,63.19
2025-11-19T09:31:50,30.3,65.28
2025-11-19T09:31:50,24.08,39.59
2025-11-19T09:31:50,28.52,66.39
2025-11-19T09:31:50,27.68,30.16
2025-11-19T09:31:50,25.46,28.69
2025-11-19T09:31:50,31.06,33.73
2025-11-19T09:31:50,18.13,60.89
2025-11-19T09:31:50,19.4,28.2
2025-11-19T09:31:50,27.45,70.13
2025-11-19T09:31:50,19.25,51.43
2025-11-19T09:31:50,22.19,78.11
2025-11-19T09:31:50,19.25,48.99
2025-11-19T09:31:50,20.25,76.34
2025-11-19T09:31:50,25.32,79.27
2025-11-19T09:31:50,25.94,73.34
2025-11-19T09:31:50,25.86,38.65
2025-11-19T09:31:50,23.15,24.71
2025-11-19T09:31:50,25.09,26.38
2025-11-19T09:31:50,31.6,59.35
2025-11-19T09:31:50,23.14,39.65
2025-11-19T09:31:50,18.21,79.83
2025-11-19T09:31:50,20.89,79.36
2025-11-19T09:31:50,23.81,29.59
2025-11-19T09:31:50,31.69,35.94
2025-11-19T09:31:50,24.69,43.63
